name,value,iso,work
Afghanistan,13.38,AFG,8.288999557
Albania,43.44,ALB,19.32699966
Algeria,19.85,DZA,24.26186407
Angola,31.86,AGO,23.32299995
Antigua and Barbuda,79.55,ATG,22.37199974
Argentina,101.72,ARG,15.74499989
Armenia,42.17,ARM,19.32900047
Australia,121.15,AUS,24.47100067
Austria,106.37,AUT,14.44999981
Azerbaijan,31.19,AZE,2.039999962
Bahamas,95.63,BHS,20.46299934
Bangladesh,4.1,BGD,19.5890007
Barbados,74.47,BRB,33.25299835
Belarus,78.73,BLR,20.52599907
Belgium,76.77,BEL,29.68499947
Belize,47.66,BLZ,35.23600006
Benin,18.2,BEN,16.09399986
Bermuda,123.08,BMU,29.72900009
Bolivia (Plurinational State of),67.22,BOL,30.73800087
Bosnia and Herzegovina,33.86,BIH,14.64400005
Botswana,29.69,BWA,21.73900032
Brazil,92.97,BRA,20.39699936
Brunei Darussalam,86,BRN,19.18600082
Bulgaria,57.14,BGR,16.00200081
Burkina Faso,16.25,BFA,9.795999527
Cabo Verde,48.88,CPV,18.06999969
Cambodia,14.93,KHM,9.345999718
Cameroon,15.65,CMR,19.38800049
Canada,92.24,CAN,31.45640652
Central African Republic,37.87,CAF,20.14800072
Chad,12.49,TCD,24.26600075
Chile,80.08,CHL,22.75200081
China,57.73,CHN,28.2689991
China, Hong Kong SAR,153.91,HKG,6.217999935
China, Macao SAR,106.43,MAC,14.13799953
China, mainland,56.85,CHN,10.56000042
China, Taiwan Province of,79.5,TWN,22.2329998
Colombia,46.42,COL,19.34499931
Congo,37.63,COG,14.12300014
Costa Rica,48.97,CRI,21.97500038
C�te d'Ivoire,14.15,CIV,18.37000084
Croatia,61.98,HRV,19.94121606
Cuba,49.66,CUB,16.79299927
Cyprus,79.68,CYP,16.94599915
Czech Republic,80.39,CZE,37.66600037
Democratic People's Republic of Korea,13.9,PRK,26.88199997
Denmark,75.16,DNK,8.177000046
Djibouti,16.53,DJI,18.46299934
Dominica,56.34,DMA,19.34199905
Dominican Republic,50.46,DOM,30.68700027
Ecuador,54.37,ECU,26.21921912
Egypt,28,EGY,22.74048335
El Salvador,28.13,SLV,25.98549377
Estonia,60.28,EST,26.06199508
Ethiopia,7.99,ETH,24.48408144
Fiji,43.78,FJI,18.53300095
Finland,74.41,FIN,26.58799934
France,88.67,FRA,23.1391529
French Polynesia,107.01,PYF,8.329000473
Gabon,66.5,GAB,19.70899963
Gambia,8.65,GMB,29.63599968
Georgia,26.98,GEO,12.56700039
Germany,87.92,DEU,23.69578001
Ghana,16.88,GHA,12.86606938
Greece,80.58,GRC,21.80599976
Grenada,57.14,GRD,13.07900047
Guatemala,27.82,GTM,20.14800072
Guinea,8.42,GIN,9.949000359
Guinea-Bissau,16.63,GNB,17.97200012
Guyana,41.72,GUY,13.26900005
Haiti,18.25,HTI,18.62000084
Honduras,35.49,HND,7.045000076
Hungary,73.73,HUN,16.04299927
Iceland,86.96,ISL,8.826000214
India,4.13,IND,16.52400017
Indonesia,12.86,IDN,15.26900005
Iran (Islamic Republic of),35.36,IRN,20.62400055
Iraq,18.88,IRQ,14.73200035
Ireland,80.48,IRL,25.69199944
Israel,101.96,ISR,22.31216558
Italy,86.65,ITA,11.74300003
Jamaica,62.22,JAM,20.3239994
Japan,48.79,JPN,11.64283609
Jordan,46.65,JOR,26.12700081
Kazakhstan,69.7,KAZ,10.24400043
Kenya,16.03,KEN,31.16600037
Kiribati,40.4,KIR,25.47313933
Kuwait,87.04,KWT,23.03388359
Kyrgyzstan,36.83,KGZ,14.77632733
Lao People's Democratic Republic,19.94,LAO,17.33935024
Latvia,68.5,LVA,21.9810009
Lebanon,43.77,LBN,13.64989302
Lesotho,22.66,LSO,24.88999939
Liberia,14.95,LBR,18.27099991
Lithuania,72.93,LTU,31.91600037
Luxembourg,98.84,LUX,23.50799942
Madagascar,14.64,MDG,17.13100052
Malawi,8.35,MWI,17.2159996
Malaysia,53.27,MYS,25.62299919
Maldives,21.08,MDV,15.65699959
Mali,25.25,MLI,24.70299911
Malta,84.51,MLT,24.38400078
Mauritania,30.52,MRT,21.36400032
Mauritius,51.82,MUS,7.668000221
Mexico,60.97,MEX,22.1970005
Mongolia,73.35,MNG,26.9829998
Montenegro,77.29,MNE,24.8390007
Morocco,33.69,MAR,25.36899948
Mozambique,8.23,MOZ,20.91867627
Myanmar,39.55,MMR,9.147000313
